Course Code,Course Name,Fall 21,Winter 21,Spring 22,Summer 22,Fall 22,Winter 22,Spring 23,Summer 23,Fall 23,Winter 23,Spring 24,Summer 24,Fall 24,Winter 24,Spring 25,Summer 25,Fall 25,Winter 25,Spring 26
CSCI 0020,The Digital World,[],,,,[],,,,[],,,,[],,,,,,
CSCI 0081,TA Apprenticeship: Full Credit,[],,[],,[],,[],,[],,[],,[],,[],,[],,[]
CSCI 0082,TA Apprenticeship: Full Credit,[],,[],,[],,[],,[],,[],,[],,[],,[],,[]
CSCI 0100,Data Fluency for All,[],,,,[],,,,,,,,,,,,,,
CSCI 0111,Computing Foundations: Data,[],,[],,[],,[],,[],,[],,[],,[],,[],,[]
CSCI 0112,Computing Foundations: Program Organization,,,,,,,,,,,,,,,,,,,
CSCI 0150,Introduction to Object-Oriented Programming and Computer Science,[],,,,[],,,,[],,,,[],,,,[],,
CSCI 0170,Computer Science: An Integrated Introduction,[],,,,[],,,,[],,,,[],,,,[],,
CSCI 0190,Accelerated Introduction to Computer Science,[],,,,[],,,,[],,,,[],,,,[],,
CSCI 0200,Program Design with Data Structures and Algorithms,,,"[{CSCI 0112, CSCI 0150,CSCI 0170,CSCI 0190}]",,"[{CSCI 0112, CSCI 0150,CSCI 0170,CSCI 0190}]",,"[{CSCI 0112, CSCI 0150,CSCI 0170,CSCI 0190}]",,"[{CSCI 0112, CSCI 0150,CSCI 0170,CSCI 0190}]",,"[{CSCI 0112, CSCI 0150,CSCI 0170,CSCI 0190}]",,"[{CSCI 0112, CSCI 0150,CSCI 0170,CSCI 0190}]",,"[{CSCI 0112, CSCI 0150,CSCI 0170,CSCI 0190}]",,"[{CSCI 0112, CSCI 0150,CSCI 0170,CSCI 0190}]",,"[{CSCI 0112, CSCI 0150,CSCI 0170,CSCI 0190}]"
CSCI 0220,Introduction to Discrete Structures and Probability,,,[],,,,[],,,,[],,,,[],,[],,[]
CSCI 0300,Fundamentals of Computer Systems,,,[CSCI 0190],,,,[CSCI 0190],,,,"[{CSCI 0190,CSCI 0200}]",,,,"[{CSCI 0190,CSCI 0200}]",,"[{CSCI 0190,CSCI 0200}]",,"[{CSCI 0190,CSCI 0200}]"
CSCI 0320,Introduction to Software Engineering,[CSCI 0190],,[CSCI 0190],,"[CSCI 0190,CSCI 0200]",,"[{CSCI 0190,CSCI 0200}]",,"[{CSCI 0190,CSCI 0200}]",,"[{CSCI 0190,CSCI 0200}]",,"[{CSCI 0190,CSCI 0200}]",,"[{CSCI 0190,CSCI 0200}]",,"[{CSCI 0190,CSCI 0200}]",,
CSCI 0330,Introduction to Computer Systems,[CSCI 0190],,,,"[CSCI 0190,CSCI 0200]",,,,"[{CSCI 0190,CSCI 0200}]",,,,"[{CSCI 0190,CSCI 0200}]",,,,,,
CSCI 0410,Foundations of AI,,,,,,,,,,,,,"[CSCI 0200,{CSCI 0220,APMA 1650,APMA 1655, CSCI 1410},{CSCI 0530*,MATH 0520*,MATH 0540*}]",,"[{CSCI 0190,CSCI 0200},{CSCI 0220,APMA 1650,APMA 1655,CSCI 1450,CSCI 0450},{CSCI 0530*,MATH 0520*,MATH 0540*}]",,"[{CSCI 0190,CSCI0200},{CSCI 0220,APMA 1650,APMA 1655,CSCI 1450,CSCI 0450},{CSCI 0530*,MATH 0520*,MATH 0540*,APMA 0260*}]",,"[{CSCI 0190,CSCI 0200},{CSCI 0220,APMA 1650,APMA 1655,CSCI 1450,CSCI 0450},{CSCI 0530*,MATH 0520*,MATH 0540*,APMA 0260*}]"
CSCI 0500,"Data Structures, Algorithms, and Intractability: An Introduction",,,,,,,,,,,"[CSCI0220,{[CSCI0150,CSCI0200],[CSCI0170,CSCI0200],[CSCI0111,CSCI0112,CSCI0200],[CSCI0190,CSCI0200]}]",,,,"[{CSCI0190,CSCI0200},{CSCI0220,[MATH0540,APMA1650]}]",,"[{CSCI0190,CSCI0200},{CSCI0220,[MATH0540,APMA1650]}]",,"[{CSCI0190,CSCI0200},{CSCI0220,MATH0540,[MATH0520,APMA1650]}]"
CSCI 1010,Theory of Computation,"[CSCI 0220,CSCI 1550,APMA 1650,CSCI 1570]",,,,"[CSCI 0220,CSCI 1550,APMA 1650,CSCI 1570,APMA 1655]",,,,"[{CSCI 0220,CSCI 1550,APMA 1650,CSCI 1570,APMA 1655}]",,,,"[{CSCI 0112, CSCI 0150,CSCI 0170,CSCI 0190}]",,,,"[{CSCI 0112, CSCI 0150,CSCI 0170,CSCI 0190}]",,
CSCI 1040,The Basics of Cryptographic Systems,,,[],,,,[],,,,[],,,,[],,,,[]
CSCI 1230,Introduction to Computer Graphics,"[{CSCI 0190,CSCI 0200}]",,,,"[{CSCI 0190,CSCI 0200}]",,,,"[{CSCI 0190,CSCI 0200}]",,,,"[{CSCI 0190,CSCI 0200}]",,,,"[{CSCI 0190,CSCI 0200}]",,
CSCI 1234,Computer Graphics Capstone,[CSCI 1230*],,,,[CSCI 1230*],,,,[CSCI 1230*],,,,[CSCI 1230*],,,,[CSCI 1230*],,
CSCI 1250,Introduction to Computer Animation,[],,,,[],,,,,,,,[],,,,[],,
CSCI 1260,Compilers and Program Analysis,,,,,"[{CSCI 0220,CSCI 0320,CSCI 0300,CSCI 0330,CSCI 1310,CSCI 1330}]",,,,"[{CSCI 0220,CSCI 0320,CSCI 1340,CSCI 0300,CSCI 0330,CSCI 1310,CSCI 1950S,CSCI 1330}]",,,,"[{CSCI 0220,CSCI 0320,CSCI 1340,CSCI 0300,CSCI 0330,CSCI 1310,CSCI 1950S,CSCI 1330}]",,,,"[{CSCI 0220,CSCI 0320,CSCI 1340,CSCI 0300,CSCI 0330,CSCI 1310,CSCI 1950S,CSCI 1330}]",,
CSCI 1270,Database Management Systems,[CSCI 0190],,,,,,,,"[{CSCI 0330,CSCI 0300,CSCI 1310}]",,,,"[{CSCI 0330,CSCI 0300,CSCI 1310}]",,,,"[{CSCI 0330,CSCI 0300,CSCI 1310}]",,
CSCI 1280,Intermediate 3D Computer Animation,,,[CSCI 1250],,,,[CSCI 1250],,,,,,,,[CSCI 1250],,,,
CSCI 1290,Computational Photography,,,,,,,,,[],,,,,,,,[],,